Part No.,Product Name,Category,Material,Supplier,Location,Cost ($),Weight (kg),Dimensions (mm),Used in Products
P-78595,Multi-lateral maximized adapter,Electrical,Steel,XYZ Gears,Warehouse E,42.73,2.148,90x80,"P-66016, P-48309, P-97849"
P-29856,Gear 60T,Mechanical,Ceramic,PCB Inc.,Warehouse E,83.87,1.978,8x171,"P-50073, P-18242"
P-21812,Sharable multimedia access,Electrical,Steel,MechParts,Warehouse C,86.7,2.431,92x14,"P-69075, P-44288, P-33030"
P-34762,Washer M8x10,Fasteners,Stainless Steel,WireTech,Warehouse E,93.43,2.74,65x29,"P-17006, P-13970, P-38420"
P-80484,PCB VP63,Electronics,Stainless Steel,MechParts,Warehouse C,94.49,2.004,196x27,P-63236
P-91404,PCB Vp28,Electronics,Aluminum,WireTech,Warehouse C,31.2,0.94,120x127,"P-30201, P-32698"
P-64653,Total zero administration hierarchy,Pneumatic,Ceramic,ABC Suppliers,Warehouse C,38.72,1.791,172x183,"P-47687, P-78179"
P-97588,Self-enabling exuding task-force,Hydraulic,Plastic,MechParts,Warehouse E,35.4,1.791,11x168,"P-57313, P-85099"
P-14548,Shaft 69T,Mechanical,Steel,XYZ Gears,Warehouse E,59.86,4.564,187x140,"P-32149, P-21951, P-37297"
P-37198,Function-based contextually-based throughput,Hydraulic,Plastic,ABC Suppliers,Warehouse B,44.84,1.997,127x130,"P-81485, P-35302"
P-58555,Nut M8x49,Fasteners,Copper,WireTech,Warehouse E,99.42,4.806,98x7,"P-98307, P-35973, P-45036"
P-74529,Bolt M10x48,Fasteners,Steel,PCB Inc.,Warehouse B,20.55,0.154,88x70,"P-46743, P-55345, P-44363"
P-27202,PCB Vw64,Electronics,FR4,XYZ Gears,Warehouse C,39.99,2.261,183x6,P-34489
P-13712,Balanced encompassing portal,Pneumatic,Plastic,XYZ Gears,Warehouse A,74.48,1.726,3x120,"P-96207, P-12368, P-40760"
P-73664,Customizable client-server artificial intelligence,Pneumatic,Ceramic,MechParts,Warehouse D,33.58,4.244,155x27,P-27275
P-71211,Washer M10x35,Fasteners,Copper,Global Components,Warehouse D,97.6,2.591,76x108,P-15965
P-28985,Enterprise-wide real-time attitude,Pneumatic,Steel,MechParts,Warehouse E,39.35,4.71,106x46,"P-45187, P-80255"
P-35244,Nut M10x11,Fasteners,Copper,Global Components,Warehouse D,70.66,2.669,126x91,"P-88524, P-14409"
P-79118,Inverse context-sensitive model,Pneumatic,Ceramic,PCB Inc.,Warehouse A,97.05,0.451,98x93,"P-87657, P-17818"
P-15989,Washer M8x38,Fasteners,FR4,PCB Inc.,Warehouse A,75.02,1.676,14x175,"P-78636, P-69040, P-21736"
P-91526,Innovative analyzing encryption,Pneumatic,Aluminum,PCB Inc.,Warehouse E,21.02,0.249,94x117,"P-97608, P-26349"
P-81637,Bearing 97T,Mechanical,Copper,WireTech,Warehouse D,53.24,3.763,37x89,"P-78545, P-89717, P-79603"
P-57761,Inverse mobile synergy,Pneumatic,Stainless Steel,WireTech,Warehouse D,30.63,3.284,138x45,"P-73164, P-68182"
P-88436,Washer M10x46,Fasteners,Steel,XYZ Gears,Warehouse C,83.6,3.326,144x81,"P-78905, P-56951, P-86747"
P-83095,Monitored impactful functionalities,Electrical,Aluminum,ABC Suppliers,Warehouse D,88.17,3.677,173x14,"P-27174, P-10580"
